t,etape,en_mouvement,attach_x,attach_y,yaw_ref,tcp_base_x,tcp_base_y,tcp_helper_x,tcp_helper_y
1.8354,init,0,-0.14838,0.23503,1.77518,0.58503,0.08100,-0.21364,0.20947
1.8456,init,0,-0.14860,0.23612,1.77356,0.58504,0.08102,-0.21366,0.20948
1.8557,init,0,-0.14860,0.23612,1.77356,0.58506,0.08103,-0.21367,0.20950
1.8658,init,0,-0.14860,0.23612,1.77356,0.58502,0.08102,-0.21365,0.20946
1.8759,init,0,-0.14860,0.23612,1.77356,0.58499,0.08104,-0.21366,0.20942
1.8860,init,0,-0.14860,0.23612,1.77356,0.58501,0.08100,-0.21363,0.20945
1.8961,init,0,-0.14860,0.23612,1.77356,0.58498,0.08099,-0.21362,0.20943
1.9062,init,0,-0.14539,0.23105,1.77683,0.58501,0.08100,-0.21364,0.20945
1.9163,init,0,-0.14539,0.23105,1.77683,0.58500,0.08101,-0.21364,0.20944
1.9264,init,0,-0.14539,0.23105,1.77683,0.58503,0.08099,-0.21363,0.20947
1.9365,init,0,-0.14539,0.23105,1.77683,0.58502,0.08099,-0.21363,0.20946
1.9466,init,0,-0.14539,0.23105,1.77683,0.58503,0.08100,-0.21363,0.20947
1.9568,init,0,-0.14539,0.23105,1.77683,0.58501,0.08101,-0.21364,0.20945
1.9669,init,0,-0.14539,0.23105,1.77683,0.58499,0.08101,-0.21364,0.20943
1.9770,init,0,-0.14513,0.23178,1.77386,0.58500,0.08100,-0.21363,0.20944
1.9871,init,0,-0.14513,0.23178,1.77386,0.58505,0.08100,-0.21365,0.20949
1.9973,init,0,-0.14513,0.23178,1.77386,0.58504,0.08100,-0.21364,0.20948
2.0077,init,0,-0.14513,0.23178,1.77386,0.58501,0.08102,-0.21365,0.20945
2.0180,init,0,-0.14513,0.23178,1.77386,0.58502,0.08102,-0.21365,0.20946
2.0282,init,0,-0.14513,0.23178,1.77386,0.58505,0.08099,-0.21364,0.20949
2.0385,init,0,-0.14444,0.23062,1.77205,0.58503,0.08100,-0.21363,0.20947
2.0487,init,0,-0.14444,0.23062,1.77205,0.58506,0.08102,-0.21366,0.20949
2.0589,init,0,-0.14444,0.23062,1.77205,0.58499,0.08097,-0.21360,0.20944
2.0692,init,0,-0.14444,0.23062,1.77205,0.58498,0.08101,-0.21364,0.20942
2.0795,init,0,-0.14444,0.23062,1.77205,0.58500,0.08101,-0.21364,0.20943
2.0897,init,0,-0.14444,0.23062,1.77205,0.58504,0.08099,-0.21363,0.20948
2.0998,init,0,-0.14444,0.23062,1.77205,0.58502,0.08099,-0.21363,0.20947
2.1100,init,0,-0.14507,0.23394,1.77074,0.58501,0.08100,-0.21363,0.20945
2.1203,init,0,-0.14507,0.23394,1.77074,0.58503,0.08097,-0.21361,0.20948
2.1306,init,0,-0.14507,0.23394,1.77074,0.58504,0.08099,-0.21363,0.20948
2.1409,init,0,-0.14507,0.23394,1.77074,0.58501,0.08100,-0.21363,0.20945
2.1512,init,0,-0.14507,0.23394,1.77074,0.58500,0.08102,-0.21365,0.20944
2.1614,init,0,-0.14507,0.23394,1.77074,0.58501,0.08100,-0.21364,0.20945
2.1716,init,0,-0.14495,0.23425,1.77331,0.58505,0.08101,-0.21365,0.20949
2.1818,init,0,-0.14495,0.23425,1.77331,0.58506,0.08101,-0.21365,0.20950
2.1920,init,0,-0.14495,0.23425,1.77331,0.58500,0.08100,-0.21363,0.20944
2.2022,init,0,-0.14495,0.23425,1.77331,0.58502,0.08100,-0.21364,0.20946
2.2123,init,0,-0.14495,0.23425,1.77331,0.58500,0.08101,-0.21364,0.20944
2.2224,init,0,-0.14495,0.23425,1.77331,0.58505,0.08101,-0.21365,0.20948
2.2325,init,0,-0.14495,0.23425,1.77331,0.58500,0.08099,-0.21363,0.20945
2.2427,init,0,-0.14232,0.23203,1.77164,0.58503,0.08099,-0.21363,0.20947
2.2528,init,0,-0.14232,0.23203,1.77164,0.58507,0.08101,-0.21366,0.20950
2.2629,init,0,-0.14232,0.23203,1.77164,0.58504,0.08102,-0.21366,0.20947
2.2731,init,0,-0.14232,0.23203,1.77164,0.58500,0.08100,-0.21363,0.20944
2.2833,init,0,-0.14232,0.23203,1.77164,0.58505,0.08098,-0.21363,0.20949
2.2935,init,0,-0.14232,0.23203,1.77164,0.58504,0.08099,-0.21363,0.20948
2.3036,init,0,-0.14485,0.23665,1.77254,0.58497,0.08104,-0.21366,0.20940
2.3137,init,0,-0.14485,0.23665,1.77254,0.58502,0.08099,-0.21363,0.20947
2.3240,init,0,-0.14485,0.23665,1.77254,0.58502,0.08101,-0.21364,0.20946
2.3341,init,0,-0.14485,0.23665,1.77254,0.58504,0.08099,-0.21363,0.20948
2.3443,init,0,-0.14485,0.23665,1.77254,0.58502,0.08100,-0.21363,0.20946
2.3545,init,0,-0.14485,0.23665,1.77254,0.58503,0.08100,-0.21364,0.20947
2.3647,init,0,-0.14485,0.23665,1.77254,0.58500,0.08103,-0.21366,0.20944
2.3748,init,0,-0.14530,0.23798,1.76870,0.58501,0.08100,-0.21363,0.20945
2.3849,init,0,-0.14530,0.23798,1.76870,0.58501,0.08100,-0.21363,0.20945
2.3950,init,0,-0.14530,0.23798,1.76870,0.58501,0.08103,-0.21367,0.20944
2.4052,init,0,-0.14530,0.23798,1.76870,0.58501,0.08102,-0.21365,0.20945
2.4153,init,0,-0.14530,0.23798,1.76870,0.58500,0.08101,-0.21364,0.20944
2.4254,init,0,-0.14530,0.23798,1.76870,0.58502,0.08099,-0.21362,0.20946
2.4354,init,0,-0.14530,0.23798,1.76870,0.58499,0.08101,-0.21363,0.20943
2.4456,init,0,-0.13983,0.23193,1.77344,0.58501,0.08101,-0.21364,0.20945
2.4557,init,0,-0.13983,0.23193,1.77344,0.58499,0.08100,-0.21363,0.20943
2.4659,init,0,-0.13983,0.23193,1.77344,0.58504,0.08100,-0.21364,0.20948
2.4761,init,0,-0.13983,0.23193,1.77344,0.58503,0.08101,-0.21365,0.20947
2.4864,init,0,-0.13983,0.23193,1.77344,0.58501,0.08100,-0.21363,0.20946
2.4967,init,0,-0.13983,0.23193,1.77344,0.58504,0.08097,-0.21361,0.20948
2.5069,init,0,-0.14425,0.23765,1.76803,0.58501,0.08100,-0.21364,0.20945
2.5171,init,0,-0.14425,0.23765,1.76803,0.58502,0.08100,-0.21363,0.20946
2.5273,init,0,-0.14425,0.23765,1.76803,0.58506,0.08101,-0.21365,0.20950
2.5374,init,0,-0.14425,0.23765,1.76803,0.58504,0.08100,-0.21365,0.20948
2.5475,init,0,-0.14425,0.23765,1.76803,0.58499,0.08099,-0.21362,0.20944
2.5576,init,0,-0.14425,0.23765,1.76803,0.58505,0.08098,-0.21363,0.20949
2.5676,init,0,-0.14425,0.23765,1.76803,0.58500,0.08102,-0.21364,0.20943
2.5777,init,0,-0.14566,0.23974,1.76679,0.58503,0.08098,-0.21362,0.20948
2.5879,init,0,-0.14566,0.23974,1.76679,0.58503,0.08100,-0.21364,0.20947
2.5981,init,0,-0.14566,0.23974,1.76679,0.58498,0.08101,-0.21363,0.20942
2.6083,init,0,-0.14566,0.23974,1.76679,0.58501,0.08100,-0.21363,0.20945
2.6186,init,0,-0.14566,0.23974,1.76679,0.58502,0.08099,-0.21363,0.20947
2.6288,init,0,-0.14566,0.23974,1.76679,0.58499,0.08104,-0.21367,0.20943
2.6390,init,0,-0.15837,0.25510,1.77149,0.58498,0.08102,-0.21365,0.20942
2.6493,home,1,-0.15837,0.25510,1.77149,0.58506,0.08099,-0.21364,0.20950
2.6595,home,1,-0.15837,0.25510,1.77149,0.58499,0.08099,-0.21362,0.20944
2.6698,home,1,-0.15837,0.25510,1.77149,0.58500,0.08100,-0.21363,0.20944
2.6800,home,1,-0.15837,0.25510,1.77149,0.58501,0.08093,-0.21357,0.20947
2.6903,home,1,-0.15837,0.25510,1.77149,0.58488,0.08085,-0.21345,0.20937
2.7005,home,1,-0.15837,0.25510,1.77149,0.58482,0.08083,-0.21341,0.20931
2.7107,home,1,-0.14687,0.24221,1.76633,0.58475,0.08077,-0.21334,0.20927
2.7209,home,1,-0.14687,0.24221,1.76633,0.58465,0.08068,-0.21322,0.20919
2.7311,home,1,-0.14687,0.24221,1.76633,0.58442,0.08050,-0.21299,0.20902
2.7414,home,1,-0.14687,0.24221,1.76633,0.58426,0.08042,-0.21287,0.20889
2.7516,home,1,-0.14687,0.24221,1.76633,0.58416,0.08033,-0.21275,0.20882
2.7619,home,1,-0.14687,0.24221,1.76633,0.58384,0.08012,-0.21247,0.20857
2.7722,home,1,-0.14759,0.24261,1.76273,0.58372,0.07998,-0.21230,0.20849
2.7825,home,1,-0.14759,0.24261,1.76273,0.58357,0.07986,-0.21215,0.20838
2.7928,home,1,-0.14759,0.24261,1.76273,0.58334,0.07972,-0.21194,0.20820
2.8031,home,1,-0.14759,0.24261,1.76273,0.58301,0.07943,-0.21158,0.20796
2.8133,home,1,-0.14759,0.24261,1.76273,0.58284,0.07928,-0.21138,0.20784
2.8236,home,1,-0.14759,0.24261,1.76273,0.58262,0.07910,-0.21115,0.20768
2.8339,home,1,-0.14759,0.24261,1.76273,0.58238,0.07896,-0.21095,0.20748
2.8441,home,1,-0.13721,0.22757,1.76436,0.58191,0.07860,-0.21047,0.20713
2.8543,home,1,-0.13721,0.22757,1.76436,0.58166,0.07837,-0.21019,0.20695
2.8645,home,1,-0.13721,0.22757,1.76436,0.58135,0.07817,-0.20991,0.20671
2.8748,home,1,-0.13721,0.22757,1.76436,0.58082,0.07777,-0.20938,0.20631
2.8850,home,1,-0.13721,0.22757,1.76436,0.58051,0.07756,-0.20909,0.20607
2.8951,home,1,-0.13721,0.22757,1.76436,0.58023,0.07732,-0.20878,0.20586
2.9053,home,1,-0.13721,0.22757,1.76436,0.57989,0.07710,-0.20848,0.20560
2.9156,home,1,-0.15429,0.24933,1.76167,0.57924,0.07658,-0.20780,0.20511
2.9259,home,1,-0.15429,0.24933,1.76167,0.57891,0.07630,-0.20744,0.20488
2.9361,home,1,-0.15429,0.24933,1.76167,0.57852,0.07606,-0.20710,0.20456
2.9464,home,1,-0.15429,0.24933,1.76167,0.57776,0.07546,-0.20631,0.20400
2.9568,home,1,-0.15429,0.24933,1.76167,0.57735,0.07518,-0.20594,0.20368
2.9669,home,1,-0.15429,0.24933,1.76167,0.57704,0.07483,-0.20552,0.20348
2.9771,home,1,-0.14151,0.23166,1.76032,0.57660,0.07453,-0.20510,0.20314
2.9872,home,1,-0.14151,0.23166,1.76032,0.57578,0.07382,-0.20420,0.20254
2.9974,home,1,-0.14151,0.23166,1.76032,0.57542,0.07349,-0.20378,0.20229
3.0076,home,1,-0.14151,0.23166,1.76032,0.57493,0.07314,-0.20331,0.20191
3.0178,home,1,-0.14151,0.23166,1.76032,0.57408,0.07241,-0.20237,0.20130
