t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
4.28219,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
4.31301,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
4.34629,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
4.37878,0.56636,174.326,-3.413,-178.599,-0.10651,0.23755,0.56636,8,0.03028669,30.28669
4.40999,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
4.44778,0.56654,174.521,-3.421,-178.605,-0.10661,0.23768,0.56654,8,0.03010669,30.10669
4.47766,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
4.51171,0.56617,174.46,-3.688,-178.531,-0.10705,0.23767,0.56617,8,0.03047669,30.47669
4.57736,0.60389,171.609,-0.322,-178.288,-0.11399,0.2466,0.60389,8,-0.00724331,-7.24331
4.61049,0.60765,171.887,-1.785,-177.96,-0.11278,0.24996,0.60765,8,-0.01100331,-11.00331
4.64275,0.60459,172.842,-0.382,-177.071,-0.10599,0.25569,0.60459,8,-0.00794331,-7.94331
4.67758,0.59579,175.405,-1.699,-177.451,-0.09991,0.25478,0.59579,8,0.00085669,0.85669
4.71015,0.59976,175.895,-2.225,-177.798,-0.10132,0.25405,0.59976,8,-0.00311331,-3.11331
4.7445,0.61022,175.205,-1.342,-177.834,-0.10399,0.25521,0.61022,8,-0.01357331,-13.57331
4.78556,0.59758,176.125,-2.772,-178.305,-0.10182,0.25107,0.59758,8,-0.00093331,-0.93331
4.80915,0.60098,175.858,-1.641,-178.112,-0.10271,0.25153,0.60098,8,-0.00433331,-4.33331
4.84701,0.59758,175.173,-2.513,-178.063,-0.10182,0.2512,0.59758,8,-0.00093331,-0.93331
4.87748,0.59743,175.531,-2.272,-177.926,-0.10163,0.25146,0.59743,8,-0.00078331,-0.78331
4.91189,0.59721,174.892,-2.06,-177.85,-0.10178,0.25091,0.59721,8,-0.00056331,-0.56331
4.94762,0.59651,175.124,-2.237,-177.869,-0.10181,0.25101,0.59651,8,0.00013669,0.13669
4.97819,0.59625,175.027,-2.253,-177.885,-0.10189,0.2509,0.59625,8,0.00039669,0.39669
5.01361,0.59679,174.946,-2.003,-177.911,-0.10148,0.25085,0.59679,8,-0.00014331,-0.14331
5.04721,0.59606,175.002,-2.089,-177.984,-0.10144,0.25058,0.59606,8,0.00058669,0.58669
5.08001,0.59633,175.083,-2.092,-177.967,-0.10135,0.251,0.59633,8,0.00031669,0.31669
5.11356,0.59601,175.402,-2.323,-177.943,-0.10187,0.25089,0.59601,8,0.00063669,0.63669
5.14589,0.59673,174.633,-1.925,-177.834,-0.10158,0.25066,0.59673,8,-0.00008331,-0.08331
5.17819,0.59736,174.707,-1.781,-177.918,-0.1015,0.25075,0.59736,8,-0.00071331,-0.71331
5.21778,0.59703,175.028,-2.006,-177.78,-0.10208,0.25089,0.59703,8,-0.00038331,-0.38331
5.24604,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
5.27748,0.59657,175.165,-2.097,-177.835,-0.10195,0.25104,0.59657,8,0.00007669,0.07669
5.31367,0.59671,175.032,-2.15,-177.792,-0.10201,0.25099,0.59671,8,-0.00006331,-0.06331
5.34785,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
5.37764,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
5.41859,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
