t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
4.84325,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
4.87929,0.59211,177.356,-0.326,-176.873,-0.07838,0.23435,0.59211,8,0.00453669,4.53669
4.91441,0.59257,176.9,-0.365,-176.858,-0.07841,0.23432,0.59257,8,0.00407669,4.07669
4.94243,0.59229,177.229,-0.143,-176.932,-0.07827,0.23411,0.59229,8,0.00435669,4.35669
4.97958,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
5.0122,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
5.04405,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
5.08187,0.59251,177.27,-0.425,-176.813,-0.07865,0.23439,0.59251,8,0.00413669,4.13669
5.11043,0.59188,177.244,-0.358,-176.952,-0.07821,0.23421,0.59188,8,0.00476669,4.76669
5.14491,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
5.17918,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
5.21362,0.59165,177.586,-0.517,-177.027,-0.07813,0.23393,0.59165,8,0.00499669,4.99669
5.24356,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
5.28043,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
5.31106,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
5.34825,0.59251,177.27,-0.425,-176.813,-0.07865,0.23439,0.59251,8,0.00413669,4.13669
5.3817,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
5.41244,0.59194,177.455,-0.523,-176.871,-0.07852,0.23423,0.59194,8,0.00470669,4.70669
5.44648,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
5.47919,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
5.51313,0.5915,177.749,-0.415,-177.065,-0.07806,0.23397,0.5915,8,0.00514669,5.14669
5.54838,0.59258,177.351,-0.235,-176.892,-0.07841,0.23418,0.59258,8,0.00406669,4.06669
5.58131,0.59101,177.686,-0.806,-177.006,-0.07824,0.23397,0.59101,8,0.00563669,5.63669
5.61149,0.59251,177.27,-0.425,-176.813,-0.07865,0.23439,0.59251,8,0.00413669,4.13669
5.64774,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
5.68061,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
5.71182,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
